category,group,name,experience,level
Programación,Lenguaje,C / C++,+25 años,Experto
Programación,Lenguaje,"C# (.NET, Mono)",+10 años,Experto
Programación,Lenguaje,Python,+10 años,Experto
Programación,Lenguaje,Lua,+5 años,Experto
Programación,Lenguaje,Java,+10 años,Experto
Programación,Lenguaje,Bash,+3 años,Intermedio
Informática,Desarrollo Web,HTML,+20 años,Avanzado
Informática,Desarrollo Web,CSS,+10 años,Avanzado
Programación,Lenguaje,JavaScript,+20 años,Experto
Programación,Lenguaje,TypeScript,+5 años,Avanzado
Programación,Framework,React.js,+5 años,Avanzado
Programación,Framework,Vite.js,+2 años,Intermedio
Programación,Framework,Express.js,+5 años,Experto
Informática,Gestión de Paquetes,Maven,+5 años,Avanzado
Informática,Gestión de Paquetes,Gradle,+5 años,Avanzado
Informática,Gestión de Paquetes,NPM,+5 años,Avanzado
Informática,Gestión de Paquetes,NuGet,+5 años,Avanzado
Informática,Bases de datos,MongoDB,+5 años,Avanzado
Informática,Bases de datos,MySQL,+10 años,Avanzado
Informática,Bases de datos,MsSQL,+10 años,Avanzado
Informática,Bases de datos,PostgreSQL,+5 años,Avanzado
Informática,Virtualización,Docker,+2 años,Avanzado
Informática,Virtualización,VirtualBox,+10 años,Experto
Informática,Virtualización,Libvirt,+2 años,Intermedio
Informática,Virtualización,QEMU,+2 años,Intermedio
Informática,Virtualización,KVM,+2 años,Intermedio
Informática,Cloud,Amazon Web Services (AWS),+2 años,Intermedio
Informática,Cloud,Digital Ocean,+2 años,Intermedio
Informática,Automatización,"Kubernetes (K8s, K3s, MicroK8s)",-1 años,Básico
Informática,Automatización,Docker Compose,+2 años,Intermedio
Informática,Automatización,N8N,+1 años,Intermedio
Informática,Monitoreo,Grafana,+3 años,Avanzado
Informática,Monitoreo,Prometheus,+3 años,Avanzado
Informática,Monitoreo,Elastic,+1 años,Intermedio
Informática,Monitoreo,Kibana,+1 años,Intermedio
Redes,Inalámbricas,WiFi,+20 años,Experto
Redes,Inalámbricas,Sigfox,+2 años,Intermedio
Redes,Inalámbricas,LoRa / LoRaWAN,+5 años,Experto
Redes,Inalámbricas,LTE-M,+5 años,Experto
Redes,Inalámbricas,NB-IoT,+5 años,Experto
Redes,Inalámbricas,Zigbee,+5 años,Experto
Redes,Inalámbricas,Bluetooth / BLE,+5 años,Experto
Redes,Satelital,Iridium,+5 años,Experto
Redes,Satelital,Starlink,+2 años,Avanzado
Redes,Satelital,Inmarsat,+5 años,Experto
Redes,Protocolos IoT,MQTT,+5 años,Experto
Redes,Protocolos IoT,CoAP,+2 años,Avanzado
Redes,Protocolos IoT,AMQP,+2 años,Avanzado
Redes,Protocolos IoT,HTTP,+20 años,Experto
Redes,VPN,OpenVPN,+2 años,Avanzado
Redes,VPN,Wireguard,+2 años,Avanzado
Redes,Herramientas,HAProxy,+2 años,Avanzado
Redes,Herramientas,NginX,+2 años,Avanzado
Redes,Herramientas,Wireshark / Tcpdump,+10 años,Experto
Redes,Herramientas,Nmap,+2 años,Avanzado
Informática,DevOps,"Git (Gitlab, Github)",,
Informática,DevOps,"CI/CD pipelines (TravisCI, Jenkins)",,
Informática,Gestión de Proyectos,"Jira (Scrum, Kanban)",,
Informática,Gestión de Proyectos,Trello,,
Informática,Gestión de Proyectos,MS Office,,
Redes,Protocolos de campo,Modbus,+20 años,Experto
Redes,Protocolos de campo,DNP3,+5 años,Avanzado
Redes,Protocolos de campo,OPC,+5 años,Avanzado
Redes,Protocolos de campo,ANSI C12,+2 años,Intermedio
Redes,Protocolos de campo,DLMS,+2 años,Intermedio
Redes,Protocolos de campo,IEC 101/103/104,+5 años,Avanzado
Redes,Protocolos de campo,Hart,+20 años,Experto
Redes,Protocolos de campo,CAN,+5 años,Avanzado
Redes,Protocolos de campo,J1939,+5 años,Avanzado
Informática,Sistemas Operativos,"Linux (Debian, Ubuntu, Fedora, ...)",+15 años,Experto
Informática,Sistemas Operativos,Microsoft Windows,+30 años,Experto
